Approved_symbol	Previous_symbols	Gene_group_ID	NCBI_Gene_ID
AGK-DT		1990	105375538
AGKP1			359793
AGKP2			392543
AGL		1650	178
AGMAT			79814
AGMO	TMEM195	552	392636
AGMX1			<NA>
AGMX2			<NA>
AGO1	EIF2C1	2037|1776	26523
AGO2	EIF2C2|CASC7	1776|1687|2037	27161
AGO3	EIF2C3	1776|2037	192669
AGO4	EIF2C4	2037|1776	192670
AGPAT1		46|2147|1691	10554
AGPAT2	BSCL	2147|46	10555
AGPAT3		46|2147	56894
AGPAT4		2147|46	56895
AGPAT4-IT1	C6orf59|NCRNA00241	1989	79992
AGPAT5		46|2147|1691	55326
AGPAT5P1			646231
AGPS		2258	8540
AGR2		692	10551
AGR3		692	155465
AGRN	AGRIN	570	375790
AGRP		1902	181
AGS			<NA>
AGS1	AGS1		<NA>
AGS2	AGS2		<NA>
AGT	SERPINA8	1902|739	183
AGTBP			<NA>
AGTIL			<NA>
AGTPBP1		1492|1321	23287
AGTR1	AGTR1B	221	185
AGTR1B			<NA>
AGTR2		221	186
AGTRAP			57085
AGTRL2			<NA>
AGXT	SPAT		189
AGXT2			64902
AHC			<NA>
AHCTF1		1051	25909
AHCTF1P1	AHCTF1P		285116
AHCY			191
AHCYL1		694	10768
AHCYL2			23382
AHCYP1			340844
AHCYP2			392387
AHCYP3			402093
AHCYP4			129560
AHCYP5			391470
AHCYP6			100419714
AHCYP7			645486
AHCYP8			<NA>
AHDC1			27245
AHDS			<NA>
AHI1		362	54806
AHI1-DT	C6orf217|NCRNA00271|LINC00271	1990	100131814
AHNAK		1220	79026
AHNAK2	C14orf78	1220	113146
AHR		2127|420	196
AHRR	AHH|AHHR	2127|420	57491
AHSA1	C14orf3		10598
AHSA2P	AHSA2		130872
AHSG		968	197
AHSP	ERAF		51327
AIC			<NA>
AICDA		406	57379
AIDA	C1orf80	823	64853
AIDAP1			646050
AIDAP2			646890
AIDAP3			100128360
AIED			<NA>
AIF1		863	199
AIF1L	C9orf58	863	83543
AIFM1	PDCD8|NAMSD|AUNX1	2258	9131
AIFM1P1			645120
