NCBI_Gene_ID	Approved_Symbol
5144	PDE4D
5311	PKD2
5354	PLP1
5447	POR
54822	TRPM7
572	BAD
624	BDKRB2
6422	SFRP1
6500	SKP1
6663	SOX10
6688	SPI1
6869	TACR1
6890	TAP1
7012	TERC
7019	TFAM
7039	TGFA
7043	TGFB3
7100	TLR5
7113	TMPRSS2
7184	HSP90B1
7225	TRPC6
7322	UBE2D2
7323	UBE2D3
7369	UMOD
7416	VDAC1
7466	WFS1
7471	WNT1
7507	XPA
7531	YWHAE
8742	TNFSF12
8989	TRPA1
9	NAT1
904	CCNT1
928	CD9
9531	BAG3
961	CD47
9759	HDAC4
10133	OPTN
10257	ABCC4
10524	KAT5
10628	TXNIP
10892	MALT1
11132	CAPN10
1282	COL4A1
1409	CRYAA
1513	CTSK
1558	CYP2C8
156	GRK2
1594	CYP27B1
1981	EIF4G1
2026	ENO2
2213	FCGR2B
2237	FEN1
22933	SIRT2
23705	CADM1
2621	GAS6
2902	GRIN1
29128	UHRF1
3099	HK2
3482	IGF2R
3567	IL5
3664	IRF6
3718	JAK3
3732	CD82
382	ARF6
383	ARG1
3837	KPNB1
3852	KRT5
387715	ARMS2
3965	LGALS9
406881	MIRLET7A1
406950	MIR16-1
406958	MIR182
406973	MIR196A2
406984	MIR200B
408	ARRB1
4085	MAD2L1
4192	MDK
4287	ATXN3
4599	MX1
4864	NPC1
5168	ENPP2
51752	ERAP1
5321	PLA2G4A
56616	DIABLO
57506	MAVS
5868	RAB5A
59	ACTA2
5978	REST
6304	SATB1
6402	SELL
653509	SFTPA1
6556	SLC11A1
6607	SMN2
6609	SMPD1
6616	SNAP25
6653	SORL1
6736	SRY
6817	SULT1A1
7173	TPO
727897	MUC5B
7299	TYR
7448	VTN
7503	XIST
80381	CD276
8140	SLC7A5
84062	DTNBP1
8549	LGR5
8648	NCOA1
8660	IRS2
919	CD247
9636	ISG15
991	CDC20
1012	CDH13
10392	NOD1
11009	IL24
11156	PTP4A3
1137	CHRNA4
118	ADD1
1398	CRK
1462	VCAN
169026	SLC30A8
1901	S1PR1
1909	EDNRA
1915	EEF1A1
1965	EIF2S1
2074	ERCC6
2122	MECOM
2215	FCGR3B
231	AKR1B1
23569	PADI4
2512	FTL
2548	GAA
27035	NOX1
27086	FOXP1
2810	SFN
2903	GRIN2A
30009	TBX21
3122	HLA-DRA
330	BIRC3
3313	HSPA9
3326	HSP90AB1
3351	HTR1B
360	AQP3
3662	IRF4
3675	ITGA3
374	AREG
3753	KCNE1
3938	LCT
4040	LRP6
405	ARNT
406932	MIR140
406933	MIR141
406934	MIR142
406940	MIR148A
406987	MIR204
406989	MIR206
4359	MPZ
4544	MTNR1B
4585	MUC4
4772	NFATC1
5020	OXT
5170	PDPK1
5308	PITX2
538	ATP7A
55000	TUG1
55054	ATG16L1
5644	PRSS1
5664	PSEN2
5725	PTBP1
580	BARD1
5921	RASA1
6329	SCN4A
6404	SELPLG
6517	SLC2A4
6528	SLC5A5
6566	SLC16A1
6649	SOD3
6659	SOX4
6863	TAC1
688	KLF5
7001	PRDX2
7014	TERF2
7020	TFAP2A
7168	TPM1
7251	TSG101
7356	SCGB1A1
7518	XRCC4
780	DDR1
81	ACTN4
8451	CUL4A
8452	CUL3
8473	OGT
85363	TRIM5
8741	TNFSF13
8797	TNFRSF10A
912	CD1D
9368	NHERF1
942	CD86
9475	ROCK2
9611	NCOR1
100506658	OCLN
10111	RAD50
10232	MSLN
10371	SEMA3A
10919	EHMT2
10987	COPS5
11082	ESM1
1136	CHRNA3
12	SERPINA3
126	ADH1C
1287	COL4A5
1311	COMP
1316	KLF6
1386	ATF2
1445	CSK
1460	CSNK2B
1482	NKX2-5
1785	DNM2
1859	DYRK1A
1890	TYMP
2072	ERCC4
23327	NEDD4L
27113	BBC3
2923	PDIA3
2938	GSTA1
30061	SLC40A1
3156	HMGCR
3181	HNRNPA2B1
3206	HOXA10
329	BIRC2
359	AQP2
3603	IL16
3759	KCNJ2
3811	KIR3DL1
3832	KIF11
3856	KRT8
3920	LAMP2
406911	MIR125B1
406948	MIR15A
407004	MIR22
407024	MIR29B1
4086	SMAD1
4129	MAOB
4155	MBP
4583	MUC2
4929	NR4A2
5076	PAX2
51094	ADIPOR1
51311	TLR8
5216	PFN1
5395	PMS2
5429	POLH
5445	PON2
5451	POU2F1
554	AVPR2
5584	PRKCI
5587	PRKD1
57167	SALL4
58191	CXCL16
5906	RAP1A
6098	ROS1
6311	ATXN2
637	BID
6506	SLC1A2
6654	SOS1
6752	SSTR2
701	BUB1B
7187	TRAF3
7409	VAV1
7529	YWHAB
7538	ZFP36
79679	VTCN1
8291	DYSF
8788	DLK1
89780	WNT3A
941	CD80
9564	BCAR1
9612	NCOR2
9968	MED12
10015	PDCD6IP
10395	DLC1
1213	CLTC
1520	CTSS
1655	DDX5
171023	ASXL1
1739	DLG1
1760	DMPK
1832	DSP
190	NR0B1
2030	SLC29A1
214	ALCAM
2166	FAAH
2191	FAP
2209	FCGR1A
2296	FOXC1
2532	ACKR1
2646	GCKR
26986	PABPC1
27122	DKK3
2741	GLRA1
3047	HBG1
317	APAF1
3304	HSPA1B
337	APOA4
3459	IFNGR1
3490	IGFBP7
3577	CXCR1
3578	IL9
3589	IL11
3651	PDX1
3683	ITGAL
3708	ITPR1
3783	KCNN4
3931	LCAT
3992	FADS1
4016	LOXL1
406982	MIR20A
406983	MIR200A
4171	MCM2
4283	CXCL9
4321	MMP12
4547	MTTP
5079	PAX5
54583	EGLN1
5499	PPP1CA
5598	MAPK7
5618	PRLR
574411	MIR451A
574501	MIR499A
6319	SCD
6337	SCNN1A
6351	CCL4
6584	SLC22A5
6929	TCF3
7030	TFE3
7033	TFF3
721	C4B
7364	UGT2B7
7408	VASP
7414	VCL
7827	NPHS2
79054	TRPM8
80332	ADAM33
821	CANX
823	CAPN1
8290	H3-4
8312	AXIN1
894	CCND2
931	MS4A1
9423	NTN1
9451	EIF2AK3
9966	TNFSF15
10461	MERTK
10499	NCOA2
10657	KHDRBS1
1081	CGA
1082	CGB3
1118	CHIT1
1131	CHRM3
1180	CLCN1
1235	CCR6
145264	SERPINA12
1487	CTBP1
1647	GADD45A
1660	DHX9
1674	DES
1719	DHFR
2002	ELK1
2050	EPHB4
2101	ESRRA
2175	FANCA
22926	ATF6
2313	FLI1
2348	FOLR1
2524	FUT2
2627	GATA6
2693	GHSR
2736	GLI2
2737	GLI3
2739	GLO1
274	BIN1
2798	GNRHR
28234	SLCO1B3
2875	GPT
290	ANPEP
3048	HBG2
3073	HEXA
3145	HMBS
3184	HNRNPD
3205	HOXA9
3416	IDE
3428	IFI16
346389	MACC1
3623	INHA
368	ABCC6
3728	JUP
375	ARF1
3762	KCNJ5
3785	KCNQ2
3827	KNG1
3921	RPSA
406903	MIR10B
406931	MIR139
406995	MIR181A1
4070	TACSTD2
407015	MIR26A1
407050	MIR93
4256	MGP
4277	MICB
4478	MSN
4486	MST1R
4487	MSX1
476	ATP1A1
4773	NFATC2
4855	NOTCH4
4925	NUCB2
51196	PLCE1
5230	PGK1
5244	ABCB4
5524	PTPA
5588	PRKCQ
5601	MAPK9
5657	PRTN3
56606	SLC2A9
57142	RTN4
5734	PTGER4
5745	PTH1R
57650	CIP2A
6103	RPGR
6278	S100A7
6356	CCL11
639	PRDM1
6418	SET
6427	SRSF2
6439	SFTPB
6520	SLC3A2
6559	SLC12A3
6595	SMARCA2
664	BNIP3
6721	SREBF2
6722	SRF
6737	TRIM21
6891	TAP2
6915	TBXA2R
7031	TFF1
708	C1QBP
7096	TLR1
71	ACTG1
720	C4A
7220	TRPC1
7296	TXNRD1
7297	TYK2
7332	UBE2L3
7350	UCP1
7352	UCP3
7498	XDH
7879	RAB7A
79577	CDC73
7980	TFPI2
8000	PSCA
80312	TET1
81631	MAP1LC3B
83737	ITCH
8398	PLA2G6
840	CASP7
8408	ULK1
8771	TNFRSF6B
8929	PHOX2B
9474	ATG5
9582	APOBEC3B
967	CD63
972	CD74
10000	AKT3
10365	KLF2
10411	RAPGEF3
10642	IGF2BP1
10644	IGF2BP2
112476	PRRT2
116	ADCYAP1
1232	CCR3
1289	COL5A1
1364	CLDN4
1380	CR2
1399	CRKL
1441	CSF3R
1734	DIO2
1742	DLG4
1755	DMBT1
176	ACAN
210	ALAD
