Approved symbol	Status	Previous symbols	Gene group ID	NCBI Gene ID
ABCA3	Approved	ABC3	805	21
ABCA3P1	Approved			342293
ABCA4	Approved	STGD1, ABCR, RP19, STGD	805	24
ABCA5	Approved		805	23461
ABCA6	Approved		805|1691	23460
ABCA7	Approved		805	10347
ABCA8	Approved		805	10351
ABCA9	Approved		805	10350
ABCA9-AS1	Approved		1987	
ABCA10	Approved		805	10349
ABCA11P	Approved	ABCA11	805	79963
ABCA12	Approved	ICR2B	805	26154
ABCA13	Approved		805	154664
ABCA15P	Approved	NCRNA00169, CRYM-AS1		400508
ABCA17P	Approved		805	650655
ABCB1	Approved	PGY1, MDR1, CLCS	806|471	5243
ABCB2	Symbol Withdrawn			
ABCB3	Symbol Withdrawn			
ABCB4	Approved	PGY3, MDR3	806	5244
ABCB5	Approved		806	340273
ABCB6	Approved		806|454	10058
ABCB7	Approved	ABC7	806	22
ABCB8	Approved		806	11194
ABCB9	Approved		806	23457
ABCB10	Approved		806	23456
ABCB10P1	Approved	ABCB10P, ABCB10P2		56476
ABCB10P2	Symbol Withdrawn			
ABCB10P3	Approved			728248
ABCB10P4	Approved			100132289
ABCB11	Approved	BSEP, PFIC2	806	8647
ABCC1	Approved	MRP, MRP1	807|454	4363
ABCC2	Approved	CMOAT	807	1244
ABCC3	Approved		807	8714
ABCC4	Approved		807|454	10257
ABCC5	Approved		807	10057
ABCC5-AS1	Approved		1987	
ABCC6	Approved	ARA, PXE	807	368
ABCC6P1	Approved			653190
ABCC6P2	Approved			730013
ABCC7	Symbol Withdrawn			
ABCC8	Approved	SUR, HRINS	807	6833
ABCC9	Approved		807	10060
ABCC10	Approved		807|1691	89845
ABCC11	Approved		807	85320
ABCC12	Approved		807	94160
ABCC13	Approved		807	150000
ABCD1	Approved	ALD	808	215
ABCD1P1	Approved			23785
ABCD1P2	Approved			26983
ABCD1P3	Approved			26982
ABCD1P4	Approved			26957
ABCD1P5	Approved			642762
ABCD2	Approved	ALDL1	808	225
ABCD3	Approved	PXMP1	808|1062	5825
ABCD4	Approved	PXMP1L	808	5826
ABCE1	Approved	RNASEL1, RNASELI, RNS4I	809	6059
ABCF1	Approved	ABC50	810|1691	23
ABCF1-DT	Approved		1990	107986587
ABCF2	Approved		810	10061
ABCF2-H2BK1	Approved	ABCF2-H2BE1		114483834
ABCF2P1	Approved			344653
ABCF2P2	Approved			100422059
ABCF3	Approved		810	55324
ABCG1	Approved		811	9619
ABCG2	Approved		811|454|471	9429
ABCG4	Approved		811	64137
ABCG5	Approved		811	64240
ABCG8	Approved		811	64241
ABCR	Symbol Withdrawn			
ABHD1	Approved		4	84696
ABHD2	Approved		4	11057
ABHD3	Approved		4	171586
ABHD4	Approved		4	63874
ABHD5	Approved		4	51099
ABHD6	Approved		4	57406
ABHD8	Approved		4	79575
ABHD10	Approved		4	55347
ABHD11	Approved	WBSCR21	4	83451
ABHD11-AS2	Entry Withdrawn			
ABHD12	Approved	C20orf22	4	26090
ABHD12B	Approved	C14orf29	4	145447
ABHD13	Approved	C13orf6	4	84945
ABHD14A	Approved		4	25864
ABHD14A-ACY1	Approved			100526760
ABHD14B	Approved		4	84836
ABHD15	Approved		4	116236
ABHD15-AS1	Approved		1987	
ABHD16A	Approved	BAT5	1691|4	7920
ABHD16B	Approved	C20orf135	4	140701
ABHD17A	Approved	C19orf27, FAM108A1	4|1749	81926
